Filename;Annotation tag;Upper left corner X;Upper left corner Y;Lower right corner X;Lower right corner Y;Origin file;Origin frame number;Origin track;Origin track frame number
dayTest/daySequence1--00000.jpg;stop;710;481;714;486;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;0;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;0
dayTest/daySequence1--00001.jpg;stop;710;478;715;483;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;1;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;1
dayTest/daySequence1--00002.jpg;stop;711;478;715;482;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;2;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;2
dayTest/daySequence1--00003.jpg;stop;712;478;715;481;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;3;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;3
dayTest/daySequence1--00004.jpg;stop;712;478;715;481;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;4;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;4
dayTest/daySequence1--00005.jpg;stop;712;476;716;480;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;5;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;5
dayTest/daySequence1--00006.jpg;stop;712;473;717;478;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;6;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;6
dayTest/daySequence1--00007.jpg;stop;714;472;718;476;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;7;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;7
dayTest/daySequence1--00008.jpg;stop;714;470;718;474;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;8;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;8
dayTest/daySequence1--00009.jpg;stop;714;468;718;472;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;9;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;9
dayTest/daySequence1--00010.jpg;stop;716;466;720;471;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;10;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;10
dayTest/daySequence1--00011.jpg;stop;717;466;720;469;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;11;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;11
dayTest/daySequence1--00012.jpg;stop;717;464;720;468;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;12;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;12
dayTest/daySequence1--00013.jpg;stop;718;464;722;468;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;13;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;13
dayTest/daySequence1--00014.jpg;stop;719;466;722;470;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;14;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;14
dayTest/daySequence1--00015.jpg;stop;720;464;723;469;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;15;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;15
dayTest/daySequence1--00016.jpg;stop;720;461;725;466;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;16;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;16
dayTest/daySequence1--00017.jpg;stop;721;462;725;466;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;17;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;17
dayTest/daySequence1--00018.jpg;stop;723;462;726;466;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;18;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;18
dayTest/daySequence1--00019.jpg;stop;724;464;728;468;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;19;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;19
dayTest/daySequence1--00020.jpg;stop;725;466;728;470;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;20;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;20
dayTest/daySequence1--00021.jpg;stop;726;468;730;471;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;21;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;21
dayTest/daySequence1--00022.jpg;stop;727;466;730;470;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;22;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;22
dayTest/daySequence1--00023.jpg;stop;728;464;732;469;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;23;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;23
dayTest/daySequence1--00024.jpg;stop;730;460;734;464;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;24;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;24
dayTest/daySequence1--00025.jpg;stop;731;458;734;462;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;25;dayTest/daySequence1/Day1EveningShutter0.000200-Gain-0.mp4;25
